case	context	input	expected	rank	microseconds	top5
fresh-7-full		nishenmeshihouyoukong	你什麼時候有空	1	5224	你什麼時候有空 | 兒什麼時候有空 | 年什麼時候有空 | 呢什麼時候有空 | 尼什麼時候有空
fresh-7-initials		nsmshyk	你什麼時候有空	0	4757	那時民生樂刊 | 那是民生樂刊 | 你是民生樂刊 | 女生民生樂刊 | 你說民生樂刊
fresh-7-mixed		nismeshouykong	你什麼時候有空	1	5374	你什麼時候有空 | 你什麼時候遙控 | 你什麼時候夜空 | 兒什麼時候有空 | 年什麼時候有空
fresh-8-full		keyizaishuoyicima	可以再說一次嗎	6	6534	可以再說一次麼 | 可以在說一次麼 | 可以再說因此麼 | 可以再說一次馬 | 可以在說因此麼
fresh-8-initials		kyzsycm	可以再說一次嗎	0	4841	可以之所以充滿 | 可以再試一次們 | 可以再試一次沒 | 可以再試一次麼 | 可以之所以出門
fresh-8-mixed		keyzaisyicma	可以再說一次嗎	0	4318	可以再試一次麼 | 可以再試一次馬 | 可以再試一次嗎 | 可以再試一次媽 | 可以再試一次碼
fresh-9-full		woyaoqumaidongxi	我要去買東西	1	3466	我要去買東西 | 我要區買東西 | 我要取買東西 | 我要去賣東西 | 我要趣買東西
fresh-9-initials		wyqmdx	我要去買東西	0	2652	委員輕描淡寫 | 我也輕描淡寫 | 唯一輕描淡寫 | 我有輕描淡寫 | 位於輕描淡寫
fresh-9-mixed		woyqumdongx	我要去買東西	0	2534	我有趣買東西 | 我一群買東西 | 我也去買東西 | 我園區買東西 | 我有去買東西
fresh-10-full		zhunishengrikuaile	祝你生日快樂	2	7792	逐年生日快樂 | 祝你生日快樂 | 壯年生日快樂 | 主你生日快樂 | 著你生日快樂
fresh-10-initials		znsrkl	祝你生日快樂	0	2334	只能生日快樂 | 子女生日快樂 | 之內生日快樂 | 災難生日快樂 | 週年生日快樂
fresh-10-mixed		zhunshengrkuail	祝你生日快樂	0	7430	準生日快樂 | 准生日快樂 | 屯生日快樂 | 諄生日快樂 | 隼生日快樂
fresh-11-full		buhaoyisirangnijiudengle	不好意思讓你久等了	6	5187	不好意思讓你就等了 | 不好意思讓兒就等了 | 不好意思讓年就等了 | 不好意思讓呢就等了 | 不好意思讓你就等樂
fresh-11-initials		bhysrnjdl	不好意思讓你久等了	0	5842	不好意思人南京東路 | 不好意思如南京東路 | 不好意思日南京東路 | 不好意思然南京東路 | 不好意思入南京東路
fresh-11-mixed		buhyisrangnjiudle	不好意思讓你久等了	0	6925	不好意思讓那就到了 | 不好意思讓那就得了 | 不好意思讓那就掉了 | 不好意思讓那就對了 | 不好意思讓那就定了
fresh-12-full		jintianwanshangyoushijianma	今天晚上有時間嗎	4	10678	今天晚上有時間麼 | 今天晚上有事件麼 | 今天晚上有時間馬 | 今天晚上有時間嗎 | 今天晚上有時間媽
fresh-12-initials		jtwsysjm	今天晚上有時間嗎	0	6636	今天五十一世紀末 | 家庭五十一世紀末 | 今天五十元世紀末 | 今天萬世一時節目 | 今天無視於世紀末
fresh-12-mixed		jintwansyousjianm	今天晚上有時間嗎	0	8837	進台灣省有時見面 | 今台灣省有時見面 | 金台灣省有時見面 | 近台灣省有時見面 | 進台灣省有所見面
# top1=6/36 top5=11/36 p50_us=6271 p95_us=18182 load_ms=2986
