case	context	input	expected	rank	microseconds	top5
boundary-156	義國家	minhang	民航	1	2157	民航 | 民航局 | 民航機 | 民行 | 民航局長
boundary-157	家民航	feiji	飛機	1	680	飛機 | 斐濟 | 非經 | 費盡 | 飛進
boundary-158	航飛機	de	的	1	787	的 | 地 | 得 | 德 | 等
boundary-159	飛機的	zhuyao	主要	1	2884	主要 | 主要是 | 主要的 | 主要原因 | 著要
boundary-160	的主要	gongying	供應	1	2305	供應 | 公營 | 恭迎 | 供應商 | 公應
boundary-161	要供應	shang	商	2	3513	上 | 商 | 傷 | 尚 | 賞
boundary-162	事實	shang	上	1	3517	上 | 商 | 傷 | 尚 | 賞
boundary-163	團購	wangzhan	網站	1	3578	網站 | 網帳 | 網展 | 望展 | 往展
boundary-164	購網站	de	的	1	527	的 | 地 | 得 | 德 | 等
boundary-165	網站的	chanpin	產品	1	2179	產品 | 昌平 | 產品線 | 剷平 | 鏟平
boundary-166	的產品	yuanjia	原價	1	1662	原價 | 元件 | 冤家 | 遠見 | 原件
boundary-167	品原價	he	和	1	823	和 | 合 | 何 | 很 | 核
boundary-168	原價和	goumai	購買	1	621	購買 | 購買力 | 夠買 | 購買慾 | 購買到
boundary-169	和購買	shuliang	數量	1	4378	數量 | 水量 | 數量級 | 輸糧 | 數量詞
boundary-170	買數量	jingchang	經常	1	5377	經常 | 經常性 | 頸長 | 經長 | 經場
boundary-171	量經常	bei	被	1	837	被 | 北 | 備 | 背 | 貝
boundary-172	而	chanpin	產品	1	3483	產品 | 昌平 | 產品線 | 剷平 | 鏟平
boundary-173	而產品	he	和	1	825	和 | 合 | 何 | 很 | 核
boundary-174	產品和	fuwu	服務	1	269	服務 | 服務業 | 服務費 | 服務站 | 服務處
boundary-175	和服務	de	的	1	441	的 | 地 | 得 | 德 | 等
boundary-176	服務的	pinzhi	品質	1	2246	品質 | 平直 | 品之 | 品質獎 | 品只
boundary-177	的品質	ze	則	2	1043	子 | 則 | 怎 | 責 | 擇
boundary-178	品質則	jingchang	經常	1	4229	經常 | 經常性 | 頸長 | 經長 | 經場
boundary-179	團購	wangzhan	網站	1	3712	網站 | 網帳 | 網展 | 望展 | 往展
boundary-180	購網站	de	的	1	820	的 | 地 | 得 | 德 | 等
boundary-181	網站的	zhuyao	主要	1	2571	主要 | 主要是 | 主要的 | 主要原因 | 著要
boundary-182	的主要	chanpin	產品	1	2904	產品 | 昌平 | 產品線 | 剷平 | 鏟平
boundary-183	要產品	fen	分	1	596	分 | 份 | 紛 | 風 | 粉
boundary-184	產品分	wei	為	1	727	為 | 位 | 委 | 未 | 維
boundary-185	品分為	jiaju	家居	5	693	家具 | 加劇 | 將軍 | 檢舉 | 家居
boundary-186	為家居	lei	類	1	599	類 | 累 | 雷 | 勒 | 淚
boundary-187	日用	pin	品	1	1524	品 | 平 | 頻 | 貧 | 蘋
boundary-188	日用品	lei	類	1	718	類 | 累 | 雷 | 勒 | 淚
boundary-189	旅遊	youhui	優惠	1	785	優惠 | 又會 | 有會 | 幽會 | 郵匯
boundary-190	酒店	ji	及	2	658	其 | 及 | 機 | 期 | 計
boundary-191	酒店及	youlun	郵輪	1	785	郵輪 | 油輪 | 有論 | 有輪 | 有倫
boundary-192	及郵輪	deng	等	1	1380	等 | 登 | 燈 | 鄧 | 瞪
boundary-193	牛肝菌	de	的	1	490	的 | 地 | 得 | 德 | 等
boundary-194	的菌肉	zai	在	1	829	在 | 再 | 載 | 災 | 仔
boundary-195	菌肉在	bei	被	1	466	被 | 北 | 備 | 背 | 貝
boundary-196	肉在被	qiege	切割	1	631	切割 | 切割成 | 且個 | 切個 | 且各
boundary-197	被切割	huo	或	2	455	和 | 或 | 活 | 獲 | 火
boundary-198	切割或	zhuangshang	撞傷	3	5794	裝上 | 撞上 | 撞傷 | 裝上去 | 狀上
boundary-199	或撞傷	hou	後	1	412	後 | 候 | 厚 | 后 | 猴
boundary-200	撞傷後	kuai	會	1	953	會 | 快 | 塊 | 快樂 | 快速
boundary-201	傷後會	biancheng	變成	1	3476	變成 | 編成 | 辯稱 | 變成說 | 便成
boundary-202	會變成	lanse	藍色	1	1437	藍色 | 藍色系 | 藍色調 | 藍色多瑙河 | 蘭色
boundary-203	成藍色	de	的	1	443	的 | 地 | 得 | 德 | 等
boundary-204	而	zhe	這	1	1703	這 | 者 | 著 | 政 | 正
boundary-205	而這	zhong	種	2	2028	中 | 種 | 重 | 眾 | 終
boundary-206	而這種	jun	菌	5	589	軍 | 均 | 君 | 俊 | 菌
boundary-207	這種菌	de	的	1	712	的 | 地 | 得 | 德 | 等
boundary-208	的菌肉	wulunruhe	無論如何	1	1419	無論如何 | 無論如何而 | 無論如何阿 | 無論如何二 | 五倫如何
boundary-209	論如何	doushi	都是	1	1291	都是 | 鬥士 | 斗室 | 豆豉 | 都時
boundary-210	何都是	baise	白色	1	2831	白色 | 白色的 | 白色恐怖 | 白色系 | 百色
boundary-211	是白色	de	的	1	473	的 | 地 | 得 | 德 | 等
boundary-212	因	ci	此	1	619	此 | 次 | 差 | 詞 | 刺
boundary-213	因此	touguo	透過	1	726	透過 | 投過 | 頭國 | 偷過 | 頭過
boundary-214	此透過	qiege	切割	1	1141	切割 | 切割成 | 且個 | 切個 | 且各
boundary-215	割菌肉	bian	便	2	1239	變 | 便 | 邊 | 編 | 遍
boundary-216	菌肉便	neng	能	1	797	能 | 能夠 | 能力 | 能不 | 能源
boundary-217	肉便能	fenbian	分辨	1	1603	分辨 | 糞便 | 分辯 | 分邊 | 分變
boundary-218	能分辨	er	二	2	850	而 | 二 | 兒 | 爾 | 耳
boundary-219	分辨二	zhe	者	2	1456	這 | 者 | 著 | 政 | 正
boundary-220	站牌	shang	上	1	3020	上 | 商 | 傷 | 尚 | 賞
boundary-221	站牌上	biaoshi	標示	2	2952	表示 | 標示 | 表是 | 標是 | 標示出
boundary-222	上標示	zhe	著	3	1379	這 | 者 | 著 | 政 | 正
boundary-223	浪漫	he	和	1	998	和 | 合 | 何 | 很 | 核
boundary-224	浪漫和	chuanqi	傳奇	1	3450	傳奇 | 喘氣 | 穿起 | 船期 | 傳球
boundary-225	和傳奇	de	的	1	479	的 | 地 | 得 | 德 | 等
boundary-226	自然	jie	界	4	1201	接 | 解 | 結 | 界 | 節
boundary-227	自然界	de	的	1	583	的 | 地 | 得 | 德 | 等
boundary-228	然界的	tu	土	2	590	圖 | 土 | 突 | 推 | 途
boundary-229	界的土	shi	是	1	3488	是 | 時 | 十 | 事 | 實
boundary-230	的土是	you	由	2	1391	有 | 由 | 又 | 友 | 遊
boundary-231	土是由	yanshi	岩石	1	3883	岩石 | 掩飾 | 演示 | 厭世 | 樣式
boundary-232	由岩石	jing	經	1	1549	經 | 更 | 境 | 精 | 景
boundary-233	岩石經	fenghua	風化	1	2242	風化 | 風華 | 鳳凰 | 風花 | 瘋話
boundary-234	堆積	er	而	1	385	而 | 二 | 兒 | 爾 | 耳
boundary-235	堆積而	xingcheng	形成	1	3887	形成 | 行程 | 行成 | 性成 | 行程表
boundary-236	而形成	de	的	1	446	的 | 地 | 得 | 德 | 等
boundary-237	毛澤東	zao	早	2	508	造 | 早 | 遭 | 糟 | 澡
boundary-238	澤東早	zai	在	1	768	在 | 再 | 載 | 災 | 仔
boundary-239	月	zhonggong	中共	1	3349	中共 | 重工 | 中公 | 重工業 | 中工
boundary-240	月中共	qi	七	5	604	其 | 起 | 期 | 氣 | 七
boundary-241	中共七	jie	屆	10	3304	接 | 解 | 結 | 界 | 節
boundary-242	中全會	de	的	1	473	的 | 地 | 得 | 德 | 等
boundary-243	全會的	baogao	報告	1	810	報告 | 報告書 | 報告案 | 報告給 | 報告出來
boundary-244	的報告	zhong	中	1	3615	中 | 種 | 重 | 眾 | 終
boundary-245	報告中	jiu	就	1	857	就 | 九 | 究 | 久 | 酒
boundary-246	告中就	mingque	明確	1	1237	明確 | 明確性 | 明卻 | 名卻 | 名確
boundary-247	就明確	de	地	2	936	的 | 地 | 得 | 德 | 等
boundary-248	明確地	shuo	說	1	1423	說 | 數 | 率 | 碩 | 生活
boundary-249	占	guomin	國民	1	688	國民 | 國民黨 | 過敏 | 國民教育 | 國名
boundary-250	占國民	jingji	經濟	1	3536	經濟 | 經紀 | 經濟部 | 競技 | 經濟學
boundary-251	民經濟	zong	總	2	983	從 | 總 | 宗 | 綜 | 蹤
boundary-252	經濟總	chanzhi	產值	1	3619	產值 | 產製 | 廠址 | 長治 | 產製品
boundary-253	的	fensan	分散	1	1369	分散 | 分散式 | 分三 | 分參 | 焚屍案
boundary-254	的分散	de	的	1	523	的 | 地 | 得 | 德 | 等
boundary-255	分散的	geti	個體	1	1218	個體 | 隔天 | 各提 | 各題 | 更替
boundary-256	的個體	de	的	1	509	的 | 地 | 得 | 德 | 等
boundary-257	個體的	nongye	農業	1	1283	農業 | 農業局 | 農業區 | 農業社 | 農業合作
boundary-258	的農業	jingji	經濟	1	2331	經濟 | 經紀 | 經濟部 | 競技 | 經濟學
boundary-259	業經濟	he	和	1	826	和 | 合 | 何 | 很 | 核
boundary-260	經濟和	shougong	手工	1	2208	手工 | 收工 | 手工藝 | 手工業 | 首功
boundary-261	和手工	ye	業	2	483	也 | 業 | 意 | 夜 | 野
boundary-262	手工業	jingji	經濟	1	2180	經濟 | 經紀 | 經濟部 | 競技 | 經濟學
boundary-263	是	keneng	可能	1	1060	可能 | 可能會 | 可能是 | 可能性 | 可能要
boundary-264	是可能	he	和	1	773	和 | 合 | 何 | 很 | 核
boundary-265	可能和	bixu	必須	1	1404	必須 | 必需 | 必須要 | 必需品 | 冰雪
boundary-266	和必須	jinshen	謹慎	2	2772	精神 | 謹慎 | 金身 | 緊身 | 晉身
boundary-267	須謹慎	de	地	2	774	的 | 地 | 得 | 德 | 等
boundary-268	逐步	de	地	2	679	的 | 地 | 得 | 德 | 等
boundary-269	逐步地	er	而	1	398	而 | 二 | 兒 | 爾 | 耳
boundary-270	步地而	you	又	3	1160	有 | 由 | 又 | 友 | 遊
boundary-271	地而又	jiji	積極	1	1190	積極 | 經濟 | 基金 | 即將 | 基金會
boundary-272	又積極	de	地	2	613	的 | 地 | 得 | 德 | 等
boundary-273	積極地	yindao	引導	1	1321	引導 | 陰道 | 引到 | 引道 | 應到
boundary-274	地引導	tamen	它們	3	961	他們 | 她們 | 它們 | 牠們 | 他們的
boundary-275	導它們	xiang	向	4	2029	想 | 相 | 像 | 向 | 象
boundary-276	它們向	zhe	著	3	1440	這 | 者 | 著 | 政 | 正
boundary-277	們向著	xiandai	現代	1	1546	現代 | 先帶 | 現代化 | 現代人 | 現代的
boundary-278	著現代	hua	化	1	399	化 | 話 | 畫 | 花 | 華
boundary-279	現代化	he	和	1	890	和 | 合 | 何 | 很 | 核
boundary-280	代化和	jiti	集體	2	825	今天 | 集體 | 家庭 | 幾天 | 津貼
boundary-281	和集體	hua	化	1	373	化 | 話 | 畫 | 花 | 華
boundary-282	集體化	de	的	1	444	的 | 地 | 得 | 德 | 等
boundary-283	體化的	fangxiang	方向	1	3168	方向 | 芳香 | 方相 | 方向盤 | 方向感
boundary-284	的方向	fazhan	發展	1	3481	發展 | 發展出 | 反戰 | 罰站 | 發展到
boundary-285	向發展	de	的	1	464	的 | 地 | 得 | 德 | 等
boundary-286	其自流	de	的	1	475	的 | 地 | 得 | 德 | 等
boundary-287	自流的	guandian	觀點	1	1569	觀點 | 光電 | 灌點 | 慣點 | 管點
boundary-288	的觀點	shi	是	1	2143	是 | 時 | 十 | 事 | 實
boundary-289	觀點是	cuowu	錯誤	1	396	錯誤 | 錯誤的 | 錯誤率 | 錯誤百出 | 錯於
boundary-290	是錯誤	de	的	1	561	的 | 地 | 得 | 德 | 等
boundary-291	它	zhuyao	主要	1	2187	主要 | 主要是 | 主要的 | 主要原因 | 著要
boundary-292	它主要	fenbu	分布	1	739	分布 | 分佈 | 分部 | 分不 | 分不清
boundary-293	要分布	zai	在	1	1610	在 | 再 | 載 | 災 | 仔
boundary-294	分布在	biaotu	表土	1	740	表土 | 表圖 | 表土層 | 表突 | 標圖
boundary-295	在表土	ceng	層	2	842	曾 | 層 | 曾經 | 層次 | 層面
boundary-296	表土層	huo	或	2	402	和 | 或 | 活 | 獲 | 火
boundary-297	或耕層	zhong	中	1	3506	中 | 種 | 重 | 眾 | 終
boundary-298	深受	gengzuo	耕作	1	1780	耕作 | 更作 | 更做 | 更昨 | 耕作層
boundary-299	受耕作	shifei	施肥	2	1875	是非 | 施肥 | 試飛 | 是費 | 是非題
boundary-300	作施肥	deng	等	1	1247	等 | 登 | 燈 | 鄧 | 瞪
boundary-301	施肥等	renwei	人為	2	838	認為 | 人為 | 認為是 | 任為 | 仍未
boundary-302	等人為	yinsu	因素	1	1232	因素 | 音速 | 音素 | 罌粟 | 銀粟
boundary-303	為因素	de	的	1	2707	的 | 地 | 得 | 德 | 等
boundary-304	因素的	yingxiang	影響	1	3535	影響 | 影像 | 映像 | 影響力 | 影響到
boundary-305	的影響	er	而	1	537	而 | 二 | 兒 | 爾 | 耳
boundary-306	影響而	ji	極	21	614	其 | 及 | 機 | 期 | 計
boundary-307	響而極	bu	不	1	431	不 | 部 | 步 | 布 | 補
boundary-308	而極不	wending	穩定	1	1597	穩定 | 穩定的 | 問鼎 | 穩定性 | 文定
boundary-309	土壤	shi	是	1	2338	是 | 時 | 十 | 事 | 實
boundary-310	土壤是	zhongyao	重要	1	3960	重要 | 重要的 | 中藥 | 重要性 | 中要
boundary-311	是重要	de	的	1	437	的 | 地 | 得 | 德 | 等
boundary-312	重要的	ziran	自然	1	933	自然 | 自然的 | 自然科 | 自然界 | 自然而然
boundary-313	的自然	ziyuan	資源	1	875	資源 | 自願 | 字元 | 自怨 | 字源
