case	context	input	expected	rank	microseconds	top5
boundary-99	赫親王	wei	為	2	1521	位 | 為 | 委 | 未 | 維
boundary-100	親王為	guoji	國際	1	707	國際 | 國家 | 國界 | 國計 | 國籍
boundary-101	為國際	sheji	射擊	3	1979	設計 | 涉及 | 射擊 | 審計 | 神經
boundary-102	際射擊	zhongxin	中心	1	4365	中心 | 重心 | 忠信 | 衷心 | 中興
boundary-103	擊中心	zhuchi	主持	1	3525	主持 | 主持人 | 住持 | 蛀齒 | 著持
boundary-104	心主持	tongxiang	銅像	2	5265	同鄉 | 銅像 | 通向 | 同向 | 同項
boundary-105	持銅像	jiemu	揭幕	2	666	節目 | 揭幕 | 接木 | 節目部 | 節目裡
boundary-106	像揭幕	yishi	儀式	4	4632	意識 | 醫師 | 一時 | 儀式 | 一世
boundary-107	這些	dianhua	電話	1	2210	電話 | 點化 | 電化 | 點畫 | 電腦化
boundary-108	些電話	jing	經	1	3623	經 | 更 | 境 | 精 | 景
boundary-109	電話經	jiaohuan	交換	1	1576	交換 | 交還 | 叫喚 | 交換機 | 交還給
boundary-110	經交換	ji	機	3	1009	其 | 及 | 機 | 期 | 計
boundary-111	交換機	chuli	處理	1	2882	處理 | 出力 | 矗立 | 創立 | 串連
boundary-112	使用	de	的	1	695	的 | 地 | 得 | 德 | 等
boundary-113	使用的	meijie	媒介	1	801	媒介 | 眉睫 | 沒接 | 每屆 | 每節
boundary-114	的媒介	baogua	包括	1	838	包括 | 保管 | 報關 | 報館 | 報關行
boundary-115	介包括	haidi	海底	1	1113	海底 | 海地 | 還的 | 海的 | 孩的
boundary-116	括海底	dianlan	電纜	1	2099	電纜 | 靛藍 | 電纜線 | 靛藍色 | 電纜車
boundary-117	人	zao	造	1	661	造 | 早 | 遭 | 糟 | 造成
boundary-118	人造	weixing	衛星	1	3560	衛星 | 微型 | 尾形 | 為行 | 微行
boundary-119	無線	dian	電	1	1214	電 | 點 | 電腦 | 店 | 典
boundary-120	光纖	ji	及	2	1196	其 | 及 | 機 | 期 | 計
boundary-121	圓	yue	月	2	919	說 | 月 | 樂 | 約 | 越
boundary-122	圓月	wan	彎	13	1067	完 | 灣 | 萬 | 完全 | 晚
boundary-123	圓月彎	dao	刀	6	1119	到 | 道 | 導 | 倒 | 島
boundary-124	為	gulong	古龍	1	1547	古龍 | 古龍水 | 國龍 | 國隆 | 國弄
boundary-125	為古龍	wanqi	晚期	1	1594	晚期 | 網球 | 玩起 | 往前 | 挽起
boundary-126	龍晚期	zuopin	作品	1	1440	作品 | 作品集 | 做品 | 作平 | 作頻
boundary-127	月	zhi	至	2	2932	之 | 至 | 氏 | 只 | 知
boundary-128	武俠	chunqiu	春秋	1	3511	春秋 | 春秋時代 | 春秋經 | 春秋左氏 | 春秋五霸
boundary-129	期	duanxu	斷續	1	1101	斷續 | 端緒 | 斷續的 | 段許 | 斷許
boundary-130	期斷續	lianzai	連載	1	2074	連載 | 連在 | 連在一起 | 聯在 | 練在
boundary-131	年漢麟	chuban	出版	1	5654	出版 | 出版社 | 創辦 | 出版品 | 初版
boundary-132	麟出版	gaiming	改名	1	1428	改名 | 該名 | 該明 | 改明 | 改名換姓
boundary-133	圓	yue	月	2	603	說 | 月 | 樂 | 約 | 越
boundary-134	圓月	wan	彎	13	891	完 | 灣 | 萬 | 完全 | 晚
boundary-135	圓月彎	dao	刀	6	928	到 | 道 | 導 | 倒 | 島
boundary-136	意	wei	為	1	1203	為 | 味 | 位 | 委 | 未
boundary-137	球狀	yachi	牙齒	1	2967	牙齒 | 延遲 | 羊齒 | 瑤池 | 牙齒痛
boundary-138	是滄龍	ke	科	3	1030	可 | 可以 | 科 | 可能 | 客
boundary-139	滄龍科	de	的	1	1240	的 | 地 | 得 | 德 | 等
boundary-140	龍科的	yi	一	1	1211	一 | 以 | 意 | 已 | 一個
boundary-141	科的一	ge	個	1	730	個 | 各 | 個人 | 格 | 歌
boundary-142	的一個	zhu	屬	1	4189	屬 | 主 | 著 | 助 | 住
boundary-143	波列夫	sheji	設計	1	3725	設計 | 涉及 | 身價 | 射擊 | 身兼
boundary-144	夫設計	ju	局	2	608	車 | 局 | 具 | 舉 | 據
boundary-145	設計局	zai	在	1	982	在 | 再 | 載 | 災 | 仔
boundary-146	年代	moqi	末期	1	698	末期 | 默契 | 摸起 | 謀求 | 摸起來
boundary-147	代末期	tuichu	推出	1	2356	推出 | 退出 | 退除 | 退除役 | 推出去
boundary-148	期推出	tu	圖	1	640	圖 | 土 | 突 | 推 | 途
boundary-149	客機	hou	後	1	593	後 | 候 | 厚 | 后 | 猴
boundary-150	波列夫	bian	便	2	2256	變 | 便 | 邊 | 編 | 遍
boundary-151	列夫便	cheng	成	1	4322	成 | 程 | 稱 | 城 | 承
boundary-152	夫便成	wei	為	1	1460	為 | 位 | 為了 | 委 | 未
boundary-153	便成為	shehui	社會	1	3768	社會 | 社會主義 | 盛會 | 社會福利 | 社會局
boundary-154	為社會	zhuyi	主義	1	2749	主義 | 主意 | 注意 | 主一 | 助益
boundary-155	會主義	guojia	國家	1	1764	國家 | 國教 | 國家公園 | 國建 | 國家安全
boundary-156	義國家	minhang	民航	1	2069	民航 | 民航局 | 民航機 | 民行 | 民航局長
boundary-157	家民航	feiji	飛機	1	610	飛機 | 斐濟 | 非經 | 費盡 | 飛進
boundary-158	航飛機	de	的	1	729	的 | 地 | 得 | 德 | 等
boundary-159	飛機的	zhuyao	主要	1	2702	主要 | 主要是 | 主要的 | 主要原因 | 著要
boundary-160	的主要	gongying	供應	1	3528	供應 | 公營 | 恭迎 | 供應商 | 工應
boundary-161	要供應	shang	商	2	4677	上 | 商 | 傷 | 尚 | 賞
boundary-162	事實	shang	上	1	5925	上 | 商 | 傷 | 尚 | 賞
boundary-163	團購	wangzhan	網站	1	7823	網站 | 網帳 | 網展 | 望展 | 往展
boundary-164	購網站	de	的	1	608	的 | 地 | 得 | 德 | 等
boundary-165	網站的	chanpin	產品	1	2208	產品 | 單品 | 長品 | 昌平 | 產品線
boundary-166	的產品	yuanjia	原價	1	2308	原價 | 元件 | 冤家 | 遠見 | 原件
boundary-167	品原價	he	和	1	977	和 | 合 | 何 | 很 | 核
boundary-168	原價和	goumai	購買	1	775	購買 | 購買力 | 夠買 | 購買慾 | 購買到
boundary-169	和購買	shuliang	數量	1	3152	數量 | 水量 | 數量級 | 輸糧 | 數量詞
boundary-170	買數量	jingchang	經常	1	4223	經常 | 經常性 | 頸長 | 經長 | 經場
boundary-171	量經常	bei	被	1	2794	被 | 北 | 備 | 背 | 貝
boundary-172	而	chanpin	產品	1	2093	產品 | 昌平 | 產品線 | 產平 | 產頻
boundary-173	而產品	he	和	1	1329	和 | 合 | 何 | 很 | 核
boundary-174	產品和	fuwu	服務	1	297	服務 | 服務業 | 服務費 | 服務站 | 服務處
boundary-175	和服務	de	的	1	559	的 | 地 | 得 | 德 | 等
boundary-176	服務的	pinzhi	品質	1	4441	品質 | 品之 | 品質獎 | 平直 | 品只
boundary-177	的品質	ze	則	2	615	子 | 則 | 怎 | 責 | 擇
boundary-178	品質則	jingchang	經常	1	4100	經常 | 經常性 | 頸長 | 經長 | 經場
boundary-179	團購	wangzhan	網站	1	3484	網站 | 網帳 | 網展 | 望展 | 往展
boundary-180	購網站	de	的	1	474	的 | 地 | 得 | 德 | 等
boundary-181	網站的	zhuyao	主要	1	2549	主要 | 主要是 | 主要的 | 主要原因 | 著要
boundary-182	的主要	chanpin	產品	1	2320	產品 | 昌平 | 產品線 | 剷平 | 鏟平
boundary-183	要產品	fen	分	1	790	分 | 份 | 紛 | 風 | 粉
boundary-184	產品分	wei	為	1	871	為 | 位 | 委 | 未 | 維
boundary-185	品分為	jiaju	家居	5	1051	家具 | 加劇 | 將軍 | 檢舉 | 家居
boundary-186	為家居	lei	類	1	480	類 | 累 | 雷 | 勒 | 淚
boundary-187	日用	pin	品	1	575	品 | 品質 | 平 | 頻 | 貧
boundary-188	日用品	lei	類	1	542	類 | 累 | 雷 | 勒 | 淚
boundary-189	旅遊	youhui	優惠	1	1560	優惠 | 又會 | 有會 | 幽會 | 郵匯
boundary-190	酒店	ji	及	2	1869	其 | 及 | 機 | 期 | 計
boundary-191	酒店及	youlun	郵輪	1	789	郵輪 | 油輪 | 有論 | 有輪 | 有倫
boundary-192	及郵輪	deng	等	1	1135	等 | 登 | 燈 | 鄧 | 瞪
boundary-193	牛肝菌	de	的	1	919	的 | 地 | 得 | 德 | 等
boundary-194	的菌肉	zai	在	1	903	在 | 再 | 載 | 災 | 仔
boundary-195	菌肉在	bei	被	2	507	北 | 被 | 貝 | 備 | 背
boundary-196	肉在被	qiege	切割	1	858	切割 | 切割成 | 且個 | 切個 | 且各
boundary-197	被切割	huo	或	2	543	和 | 或 | 活 | 獲 | 火
boundary-198	切割或	zhuangshang	撞傷	3	8537	裝上 | 撞上 | 撞傷 | 裝上去 | 狀上
boundary-199	或撞傷	hou	後	1	8196	後 | 候 | 厚 | 后 | 猴
boundary-200	撞傷後	kuai	會	1	571	會 | 快 | 塊 | 快樂 | 快速
boundary-201	傷後會	biancheng	變成	1	4761	變成 | 編成 | 變成說 | 辯稱 | 變程
boundary-202	會變成	lanse	藍色	1	1565	藍色 | 藍色系 | 藍色調 | 藍色多瑙河 | 蘭色
boundary-203	成藍色	de	的	1	484	的 | 地 | 得 | 德 | 的話
boundary-204	而	zhe	這	1	1901	這 | 著 | 者 | 這個 | 這樣
boundary-205	而這	zhong	種	1	6855	種 | 中 | 重 | 眾 | 終
boundary-206	而這種	jun	菌	5	692	軍 | 均 | 君 | 俊 | 菌
boundary-207	這種菌	de	的	1	478	的 | 地 | 得 | 德 | 等
boundary-208	的菌肉	wulunruhe	無論如何	1	3565	無論如何 | 無論如何而 | 無論如何阿 | 無論如何二 | 五倫如何
boundary-209	論如何	doushi	都是	1	1652	都是 | 鬥士 | 斗室 | 豆豉 | 都時
boundary-210	何都是	baise	白色	1	9480	白色 | 白色的 | 白色恐怖 | 白色系 | 百色
boundary-211	是白色	de	的	1	679	的 | 地 | 得 | 德 | 等
boundary-212	因	ci	此	1	745	此 | 次 | 差 | 詞 | 此一
boundary-213	因此	touguo	透過	1	708	透過 | 投過 | 頭國 | 偷過 | 頭過
boundary-214	此透過	qiege	切割	1	1382	切割 | 切割成 | 且個 | 切個 | 且各
boundary-215	割菌肉	bian	便	2	1066	變 | 便 | 邊 | 編 | 遍
boundary-216	菌肉便	neng	能	1	1022	能 | 能夠 | 能力 | 能不 | 能源
boundary-217	肉便能	fenbian	分辨	1	4629	分辨 | 糞便 | 分辯 | 分邊 | 分變
boundary-218	能分辨	er	二	2	396	而 | 二 | 兒 | 爾 | 耳
boundary-219	分辨二	zhe	者	1	3511	者 | 這 | 著 | 政 | 正
boundary-220	站牌	shang	上	1	3554	上 | 商 | 傷 | 尚 | 賞
boundary-221	站牌上	biaoshi	標示	2	3098	表示 | 標示 | 表是 | 表時 | 表示出
boundary-222	上標示	zhe	著	3	1633	這 | 者 | 著 | 這個 | 這樣
boundary-223	浪漫	he	和	1	812	和 | 合 | 何 | 很 | 核
boundary-224	浪漫和	chuanqi	傳奇	1	3296	傳奇 | 喘氣 | 穿起 | 船期 | 傳球
boundary-225	和傳奇	de	的	1	602	的 | 地 | 得 | 德 | 等
boundary-226	自然	jie	界	4	795	接 | 解 | 結 | 界 | 節
boundary-227	自然界	de	的	1	447	的 | 地 | 得 | 德 | 等
boundary-228	然界的	tu	土	1	864	土 | 圖 | 突 | 推 | 團
boundary-229	界的土	shi	是	1	2109	是 | 時 | 十 | 事 | 實
boundary-230	的土是	you	由	2	1999	有 | 由 | 又 | 由於 | 友
boundary-231	土是由	yanshi	岩石	1	2888	岩石 | 掩飾 | 演示 | 厭世 | 樣式
boundary-232	由岩石	jing	經	1	1616	經 | 更 | 境 | 精 | 景
boundary-233	岩石經	fenghua	風化	1	2620	風化 | 風華 | 鳳凰 | 風花 | 瘋話
boundary-234	堆積	er	而	1	438	而 | 二 | 兒 | 爾 | 耳
boundary-235	堆積而	xingcheng	形成	1	6520	形成 | 行程 | 行成 | 性成 | 行程表
boundary-236	而形成	de	的	1	466	的 | 地 | 得 | 德 | 等
boundary-237	毛澤東	zao	早	2	558	造 | 早 | 遭 | 糟 | 澡
boundary-238	澤東早	zai	在	1	794	在 | 再 | 載 | 災 | 仔
boundary-239	月	zhonggong	中共	1	2776	中共 | 中工 | 重工 | 中供 | 中功
boundary-240	月中共	qi	七	5	470	其 | 起 | 期 | 氣 | 七
boundary-241	中共七	jie	屆	10	1017	接 | 解 | 結 | 界 | 節
boundary-242	中全會	de	的	1	2101	的 | 地 | 得 | 等 | 德
boundary-243	全會的	baogao	報告	1	848	報告 | 報告書 | 報告案 | 保高 | 報告給
boundary-244	的報告	zhong	中	1	1992	中 | 種 | 重 | 眾 | 終
boundary-245	報告中	jiu	就	1	2384	就 | 九 | 究 | 久 | 酒
boundary-246	告中就	mingque	明確	1	1329	明確 | 明確性 | 明卻 | 名卻 | 名確
boundary-247	就明確	de	地	2	431	的 | 地 | 得 | 德 | 等
boundary-248	明確地	shuo	說	1	1815	說 | 數 | 率 | 說明 | 說的
boundary-249	占	guomin	國民	1	1016	國民 | 國民黨 | 過敏 | 國民教育 | 國名
boundary-250	占國民	jingji	經濟	1	1673	經濟 | 經紀 | 經濟部 | 競技 | 經濟學
boundary-251	民經濟	zong	總	2	1449	從 | 總 | 宗 | 綜 | 蹤
boundary-252	經濟總	chanzhi	產值	1	3114	產值 | 產製 | 長治 | 廠址 | 長之
boundary-253	的	fensan	分散	1	1643	分散 | 分三 | 分參 | 分散式 | 分屍案
boundary-254	的分散	de	的	1	503	的 | 地 | 得 | 德 | 等
boundary-255	分散的	geti	個體	1	615	個體 | 各提 | 各題 | 個提 | 個題
boundary-256	的個體	de	的	1	441	的 | 地 | 得 | 德 | 等
boundary-257	個體的	nongye	農業	1	2510	農業 | 農業局 | 農業區 | 農業社 | 農也
boundary-258	的農業	jingji	經濟	1	1740	經濟 | 經紀 | 經濟部 | 競技 | 經濟學
boundary-259	業經濟	he	和	1	753	和 | 合 | 何 | 很 | 核
boundary-260	經濟和	shougong	手工	2	2400	收工 | 手工 | 收公 | 手工藝 | 收共
boundary-261	和手工	ye	業	1	592	業 | 也 | 意 | 業者 | 業務
boundary-262	手工業	jingji	經濟	1	2289	經濟 | 經紀 | 經濟部 | 競技 | 經濟學
boundary-263	是	keneng	可能	1	1132	可能 | 可能會 | 可能是 | 可能性 | 可能要
boundary-264	是可能	he	和	1	728	和 | 合 | 何 | 很 | 核
boundary-265	可能和	bixu	必須	1	467	必須 | 必需 | 必須要 | 必需品 | 冰雪
boundary-266	和必須	jinshen	謹慎	2	3087	精神 | 謹慎 | 金身 | 緊身 | 晉身
boundary-267	須謹慎	de	地	2	429	的 | 地 | 得 | 德 | 等
boundary-268	逐步	de	地	2	442	的 | 地 | 得 | 德 | 等
boundary-269	逐步地	er	而	1	396	而 | 二 | 兒 | 爾 | 耳
boundary-270	步地而	you	又	3	2091	有 | 由 | 又 | 友 | 遊
boundary-271	地而又	jiji	積極	1	952	積極 | 經濟 | 基金 | 即將 | 基金會
boundary-272	又積極	de	地	2	574	的 | 地 | 得 | 德 | 等
boundary-273	積極地	yindao	引導	1	1127	引導 | 陰道 | 引到 | 因到 | 引道
boundary-274	地引導	tamen	它們	3	1531	他們 | 她們 | 它們 | 牠們 | 他們的
boundary-275	導它們	xiang	向	4	1705	想 | 相 | 像 | 向 | 象
boundary-276	它們向	zhe	著	3	1259	這 | 者 | 著 | 政 | 正
boundary-277	們向著	xiandai	現代	1	1696	現代 | 相待 | 先帶 | 現代化 | 現代人
boundary-278	著現代	hua	化	1	409	化 | 話 | 畫 | 花 | 華
boundary-279	現代化	he	和	2	747	合 | 和 | 何 | 很 | 核
boundary-280	代化和	jiti	集體	2	708	今天 | 集體 | 家庭 | 九條 | 解體
boundary-281	和集體	hua	化	1	402	化 | 話 | 畫 | 花 | 華
boundary-282	集體化	de	的	1	605	的 | 地 | 得 | 等 | 德
boundary-283	體化的	fangxiang	方向	1	3538	方向 | 方相 | 方想 | 芳香 | 方像
boundary-284	的方向	fazhan	發展	1	2278	發展 | 發展出 | 反戰 | 罰站 | 發展到
boundary-285	向發展	de	的	1	460	的 | 地 | 得 | 德 | 等
boundary-286	其自流	de	的	1	440	的 | 地 | 得 | 德 | 等
boundary-287	自流的	guandian	觀點	1	1718	觀點 | 光電 | 管點 | 關電 | 關電視
boundary-288	的觀點	shi	是	1	2178	是 | 時 | 十 | 事 | 實
boundary-289	觀點是	cuowu	錯誤	1	686	錯誤 | 錯誤的 | 錯誤率 | 錯誤百出 | 錯於
boundary-290	是錯誤	de	的	1	526	的 | 地 | 得 | 德 | 等
boundary-291	它	zhuyao	主要	1	1959	主要 | 主要是 | 主要的 | 主要原因 | 著要
boundary-292	它主要	fenbu	分布	1	1112	分布 | 分部 | 分不 | 分佈 | 分不清
boundary-293	要分布	zai	在	1	1089	在 | 再 | 載 | 災 | 仔
boundary-294	分布在	biaotu	表土	1	603	表土 | 表圖 | 表土層 | 表突 | 標圖
boundary-295	在表土	ceng	層	2	754	曾 | 層 | 曾經 | 層次 | 層面
boundary-296	表土層	huo	或	2	401	和 | 或 | 活 | 獲 | 火
boundary-297	或耕層	zhong	中	1	2233	中 | 種 | 重 | 眾 | 終
boundary-298	深受	gengzuo	耕作	1	1725	耕作 | 更作 | 更做 | 更昨 | 耕作層
boundary-299	受耕作	shifei	施肥	2	1538	是非 | 施肥 | 是費 | 試飛 | 是非題
boundary-300	作施肥	deng	等	1	1135	等 | 登 | 燈 | 鄧 | 瞪
boundary-301	施肥等	renwei	人為	2	850	認為 | 人為 | 人位 | 人委 | 人未
boundary-302	等人為	yinsu	因素	1	914	因素 | 音速 | 銀粟 | 音素 | 罌粟
boundary-303	為因素	de	的	1	507	的 | 地 | 得 | 德 | 等
boundary-304	因素的	yingxiang	影響	1	2702	影響 | 影像 | 影響力 | 影響到 | 映像
boundary-305	的影響	er	而	1	383	而 | 二 | 兒 | 爾 | 耳
boundary-306	影響而	ji	極	23	907	給 | 經 | 其 | 及 | 將
boundary-307	響而極	bu	不	1	683	不 | 部 | 步 | 布 | 補
boundary-308	而極不	wending	穩定	1	1519	穩定 | 穩定的 | 問鼎 | 穩定性 | 文定
boundary-309	土壤	shi	是	1	2397	是 | 時 | 十 | 事 | 實
boundary-310	土壤是	zhongyao	重要	1	2740	重要 | 重要的 | 中藥 | 中要 | 重要性
boundary-311	是重要	de	的	1	457	的 | 地 | 得 | 德 | 等
boundary-312	重要的	ziran	自然	1	1208	自然 | 自燃 | 自然的 | 資然 | 子然
boundary-313	的自然	ziyuan	資源	1	1923	資源 | 自願 | 字元 | 自怨 | 字源
